"alt_texts","annotation_id","annotator","created_at","date","id","lead_time","like_count","links","name","referenced_post_id","referenced_post_type","referenced_post_url","referenced_username","reply_count","repost_count","sentiment","text","updated_at","url","username"
"['']",11,"1","2024-11-29T10:42:48.080388Z","2024-11-22 16:41:07.159000","3lbkgaevsfc2s",16.573,1,"[]","L’Europe Ensemble","","","","",0,0,"vie politique","📺 @mariepierrev.bsky.social sera l'invitée de France Info demain, à partir de 13h25.","2024-12-26T09:23:09.680721Z","https://bsky.app/profile/ensembleue.bsky.social/post/3lbkgaevsfc2s","ensembleue.bsky.social"
"['']",12,"1","2024-11-29T10:42:50.139794Z","2024-11-22 15:04:46.926000","3lbkau4h3m22m",9.535,9,"[]","L’Europe Ensemble","","","","",1,4,"vie politique","🎙️ @valeriehayer.bsky.social sera l'invitée de France Inter demain, à partir de 7h50.","2024-12-26T09:23:19.271381Z","https://bsky.app/profile/ensembleue.bsky.social/post/3lbkau4h3m22m","ensembleue.bsky.social"
"['']",13,"1","2024-11-29T10:42:52.161159Z","2024-11-22 13:06:21.615000","3lbk2aecdac2e",11.178,4,"[]","L’Europe Ensemble","","","","",0,0,"vie politique","🎙️ @nathalieloiseau.bsky.social sera l'invitée de France Info (radio) aujourd'hui, à partir de 18h30.","2024-12-26T09:23:27.764501Z","https://bsky.app/profile/ensembleue.bsky.social/post/3lbk2aecdac2e","ensembleue.bsky.social"
"['']",14,"1","2024-11-29T10:42:57.426381Z","2024-11-22 09:47:49.861000","3lbjc3vpl7c2j+ensembleue.bsky.social",4.953,83,"[]","L’Europe Ensemble","3lbjc3vpl7c2j","reposted","https://bsky.app/profile/nathalieloiseau.bsky.social/post/3lbjc3vpl7c2j","nathalieloiseau.bsky.social",6,8,"international","En route vers la Moldavie où l’accompagne Benjamin Haddad, en soutien à ce pays candidat à l’Union européenne et aux prises avec des ingérences russes innombrables.","2024-11-29T10:42:57.426381Z","https://bsky.app/profile/nathalieloiseau.bsky.social/post/3lbjc3vpl7c2j","ensembleue.bsky.social"
"[]",15,"1","2024-11-29T10:43:14.544500Z","2024-11-21 11:30:12.890000","3lbhao3zlo22b+ensembleue.bsky.social",37.811,19,"['https://t.co/TwENxXQ5Hl']","L’Europe Ensemble","3lbhao3zlo22b","reposted","https://bsky.app/profile/fabiennekeller.bsky.social/post/3lbhao3zlo22b","fabiennekeller.bsky.social",0,8,"vie politique","Félicitations cher Stéphane Séjourné !

Avec ta confirmation au poste de Vice-président exécutif de la Commission chargé de l'industrie et la prospérité, notre groupe @reneweurope.bsky.social sera au coeur de la construction d'une #Europe souveraine et stratégique 🇪🇺

t.co/TwENxXQ5Hl","2024-12-27T14:29:50.034569Z","https://bsky.app/profile/fabiennekeller.bsky.social/post/3lbhao3zlo22b","ensembleue.bsky.social"
"['']",16,"1","2024-11-29T10:43:42.665144Z","2024-11-21 10:17:21.083000","3lbg25eobt22l+ensembleue.bsky.social",27.808,3,"[]","L’Europe Ensemble","3lbg25eobt22l","reposted","https://bsky.app/profile/mariepierrev.bsky.social/post/3lbg25eobt22l","mariepierrev.bsky.social",0,1,"international","@borderlex.bsky.social merci pour l’invitation à échanger sur le chemin parcouru & surtout celui qu’il reste à dessiner pour renforcer l’unité🇪🇺dans un monde où #Trump ou tant d’autres ne nous feront aucun cadeau 

Ready for the worst ? Not yet, so two words for our mindset : stronger & faster","2024-11-29T10:43:42.665144Z","https://bsky.app/profile/mariepierrev.bsky.social/post/3lbg25eobt22l","ensembleue.bsky.social"
"['']",17,"1","2024-11-29T10:43:56.058006Z","2024-11-20 20:54:34.654000","3lbfthqxhcs2f",15.469000000000001,11,"[]","L’Europe Ensemble","","","","",0,4,"vie politique","Félicitations Stéphane Séjourné 👏👏👏 pour ta confirmation en tant que vice-président exécutif de la Commission 🇪🇺 !

Nous nous battrons à tes côtés pour une Europe prospère, à l’industrie verte, créatrice d’emplois, de secteurs d’avenir et capable d’offrir aux Européens des opportunités au quotidien !","2024-12-27T14:29:54.426987Z","https://bsky.app/profile/ensembleue.bsky.social/post/3lbfthqxhcs2f","ensembleue.bsky.social"
"['']",18,"1","2024-11-29T10:44:02.668026Z","2024-11-20 10:25:57.185000","3lbbz2kkbzk2l+ensembleue.bsky.social",6.306,80,"[]","L’Europe Ensemble","3lbbz2kkbzk2l","reposted","https://bsky.app/profile/nathalieloiseau.bsky.social/post/3lbbz2kkbzk2l","nathalieloiseau.bsky.social",2,27,"international","1000 jours d’agression brutale de la Russie contre un pays, l’Ukraine, qui ne l’a ni menacé, ni provoqué. 1000 jours que l’armée et le peuple ukrainiens résistent contre le rouleau compresseur russe. 1000 jours que nous les aidons. Il faut poursuivre notre soutien, autant que nécessaire.","2024-11-29T10:44:02.668026Z","https://bsky.app/profile/nathalieloiseau.bsky.social/post/3lbbz2kkbzk2l","ensembleue.bsky.social"
"['']",19,"1","2024-11-29T10:44:04.949643Z","2024-11-20 10:25:52.676000","3lbc4o54ots2d+ensembleue.bsky.social",1.977,7,"[]","L’Europe Ensemble","3lbc4o54ots2d","reposted","https://bsky.app/profile/sandrogozi.bsky.social/post/3lbc4o54ots2d","sandrogozi.bsky.social",0,4,"international","1 000 jours d’invasion russe, 1 000 jours de #résistance héroïque pour la #démocratie européenne 🇺🇦🇪🇺
Aujourd’hui, #Zelenskyy s’exprimera en plénière pour rappeler notre devoir : soutenir #Kyiv, coûte que coûte, #1000jours de plus s’il le faut.

🇺🇦 СИЛА УКРАЇНИ ! 🇪🇺","2024-11-29T10:44:04.949643Z","https://bsky.app/profile/sandrogozi.bsky.social/post/3lbc4o54ots2d","ensembleue.bsky.social"
"['']",20,"1","2024-11-29T10:44:07.020963Z","2024-11-20 08:48:02.189000","3lbdaoyhhec2f+ensembleue.bsky.social",1.773,11,"[]","L’Europe Ensemble","3lbdaoyhhec2f","reposted","https://bsky.app/profile/mariepierrev.bsky.social/post/3lbdaoyhhec2f","mariepierrev.bsky.social",0,4,"international","1000 jours #StandwithUkraine 🇺🇦🇪🇺 Pour la paix, pour la liberté, pour le respect du droit international 

Saluer le courage des Ukrainiens en accueillant le Président @zelenskyy-ua.bsky.social au Parlement européen & rappeler notre soutien","2024-11-29T10:44:07.020963Z","https://bsky.app/profile/mariepierrev.bsky.social/post/3lbdaoyhhec2f","ensembleue.bsky.social"
"[]",21,"1","2024-11-29T10:44:11.912629Z","2024-11-19 15:12:03.419000","3lbcodfq3bc2w+ensembleue.bsky.social",4.598,88,"[]","L’Europe Ensemble","3lbcodfq3bc2w","reposted","https://bsky.app/profile/valeriehayer.bsky.social/post/3lbcodfq3bc2w","valeriehayer.bsky.social",7,28,"international","Monsieur le Président Zelensky, vous pouvez compter sur notre soutien. Depuis mille jours et jusqu’à votre victoire.

Jusqu’à la paix juste, libre et durable.

🇺🇦🇪🇺

@reneweurope.bsky.social","2024-11-29T10:44:11.912629Z","https://bsky.app/profile/valeriehayer.bsky.social/post/3lbcodfq3bc2w","ensembleue.bsky.social"
"[]",22,"1","2024-11-29T10:44:23.220056Z","2024-11-18 15:15:38.760000","3lb6ahk27hk2q+ensembleue.bsky.social",11.001,114,"[]","L’Europe Ensemble","3lb6ahk27hk2q","reposted","https://bsky.app/profile/nathalieloiseau.bsky.social/post/3lb6ahk27hk2q","nathalieloiseau.bsky.social",8,23,"international","Combien de temps perdu, combien de vies perdues pour en arriver à cette décision utile mais si tardive ? Pourquoi ces retards ? DIRECT. Guerre en Ukraine : les Etats-Unis autorisent l'armée ukrainienne à utiliser des missiles à longue portée contre la Russie, annonce un responsable américain","2024-11-29T10:44:23.220056Z","https://bsky.app/profile/nathalieloiseau.bsky.social/post/3lb6ahk27hk2q","ensembleue.bsky.social"
"['']",23,"1","2024-11-29T10:44:45.025435Z","2024-11-15 11:47:00.235000","3laycjzaios2d",21.512,9,"[]","L’Europe Ensemble","","","","",0,3,"{""choices"":[""international"",""économie""]}","🌎 Mercosur | « Nous ne sommes pas isolés. La France est la plus vocale dans l'expression d'attentes légitimes et extrêmement importantes, à la fois sur les questions agricoles et climatiques. Mais d'autres États membres ont exprimé ces mêmes inquiétudes » — 
@mariepierrev.bsky.social","2024-11-29T10:44:45.025435Z","https://bsky.app/profile/ensembleue.bsky.social/post/3laycjzaios2d","ensembleue.bsky.social"
"['']",24,"1","2024-11-29T10:44:50.411909Z","2023-11-12 12:17:12.220000","3kdyi6ccpkc22",5.049,12,"[]","L’Europe Ensemble","","","","",0,2,"autre","Pas de tolérance pour l’intolérable.","2024-11-29T10:44:50.411909Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kdyi6ccpkc22","ensembleue.bsky.social"
"['']",25,"1","2024-11-29T10:48:28.954888Z","2023-11-11 10:04:04.446000","3kdvqbd7bt222",129.165,9,"[]","L’Europe Ensemble","","","","",0,2,"international","Le 11 novembre 1918 mettait fin à la Première Guerre mondiale. Une guerre motivée par des nationalismes exacerbés à l’extrême. 

En ce jour d'armistice, rendons hommage à tous les soldats morts pour la 🇫🇷.","2024-11-29T10:48:28.954888Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kdvqbd7bt222","ensembleue.bsky.social"
"['']",26,"1","2024-11-29T10:48:41.312315Z","2023-11-10 15:30:33.837000","3kdts27k7tk2m",12.025,5,"[]","L’Europe Ensemble","","","","",0,3,"{""choices"":[""international"",""environnement""]}","La droite européenne et le RN ont tenté de torpiller cette loi, ils n’ont pas réussi : accord trouvé hier entre les institutions 🇪🇺 pour la restauration de la nature.

Prochaine étape ? Validation de cet accord historique le 29 novembre en commission environnement.","2024-11-29T10:48:41.312315Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kdts27k7tk2m","ensembleue.bsky.social"
"['']",27,"1","2024-11-29T10:48:51.963956Z","2023-10-29 11:16:04.497000","3kcv6a3xq7s2o",10.328,30,"[]","L’Europe Ensemble","","","","",1,21,"{""choices"":[""international"",""social""]}","Alors que le droit à l’IVG est menacé partout en 🇪🇺, Emmanuel Macron fait une annonce forte pour notre pays. 

Au niveau européen, nous souhaitons inscrire ce droit dans la charte des droits fondamentaux de l’UE.","2024-11-29T10:48:51.963956Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kcv6a3xq7s2o","ensembleue.bsky.social"
"['']",28,"1","2024-11-29T10:49:25.870864Z","2023-10-27 11:22:27.152000","3kcq5no4otc26",33.596,6,"[]","L’Europe Ensemble","","","","",0,1,"international","🇮🇱🇵🇸 Sommet européen. Les 27 :

👉 Condamnent unanimement l’attaque du Hamas et soutiennent Israël dans sa riposte, « conformément au droit international ».

👉 Appellent à des « couloirs et des trêves humanitaires » à Gaza.

👉 Soutiennent l'organisation d'une conférence de paix internationale.","2024-11-29T10:49:25.870864Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kcq5no4otc26","ensembleue.bsky.social"
"['']",29,"1","2024-11-29T10:49:40.741288Z","2023-10-26 19:42:36.558000","3kcoj53qh722p",14.553,13,"[]","L’Europe Ensemble","","","","",0,3,"{""choices"":[""international"",""culture et médias""]}","Le #NoTwitterDay vient interpeller la plateforme X sur son absence de modération des contenus qui sortent du cadre légal de la liberté d’expression. 

Nous avons agi au niveau 🇪🇺 avec l’adoption du « DSA », une loi qui rend responsables les plateformes des contenus qu’elles hébergent.","2024-11-29T10:49:40.741288Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kcoj53qh722p","ensembleue.bsky.social"
"['']",30,"1","2024-11-29T10:49:56.002158Z","2023-10-26 05:37:36.091000","3kcmzw47g4v23",14.954,5,"[]","L’Europe Ensemble","","","","",0,3,"{""choices"":[""international"",""économie"",""immigration""]}","🇪🇺Les 27 chefs d’État et de gouvernement de l’UE se réunissent aujourd’hui et demain à Bruxelles. 

Parmi les sujets à l’ordre du jour : 

🇺🇦La situation en Ukraine 
🇮🇱🇵🇸La situation en Israël et Palestine
🇦🇲La crise entre l’Arménie et l’Azerbaïdjan 
🌍Les migrations
🏭La compétitivité de l’Europe","2024-11-29T10:49:56.002158Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kcmzw47g4v23","ensembleue.bsky.social"
"['']",31,"1","2024-11-29T10:50:08.677521Z","2023-10-25 18:49:33.010000","3kclvpca66o2o",12.342,5,"[]","L’Europe Ensemble","","","","",0,0,"{""choices"":[""international"",""santé""]}","💊La Commission a dévoilé un plan de bataille contre les pénuries de médicaments essentiels pour l’hiver.

L’🇪🇺 va :

🤝 Mettre en place un mécanisme de solidarité entre les États membres, opérationnel dès le début 2024.

📝 Élaborer une liste pour la sécurisation de médicaments critiques.","2024-11-29T10:50:08.677521Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kclvpca66o2o","ensembleue.bsky.social"
"['']",32,"1","2024-11-29T10:50:46.871695Z","2023-10-24 21:00:53.369000","3kcjmla3kqg2a",54.91,2,"[]","L’Europe Ensemble","","","","",0,0,"{""choices"":[""international"",""économie""]}","L’🇪🇺 vient de trouver un nouvel accord sur les indications géographiques qui protègent nos vins, boissons spiritueuses et produits agricoles contre la copie et la fraude. 

Ces produits bien connus représentent notre patrimoine culturel, gastronomique et local et rayonnent dans le monde entier.","2024-12-26T09:09:52.439157Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kcjmla3kqg2a","ensembleue.bsky.social"
"['']",33,"1","2024-11-29T10:50:59.359462Z","2023-10-20 17:54:54.368000","3kc7acy744c2w",14.797999999999998,4,"[]","L’Europe Ensemble","","","","",0,2,"{""choices"":[""international"",""économie""]}","C’était mardi au Parlement 🇪🇺 : un vote sur une aide pérenne de l’Union européenne de 50 milliards d’euros à l’Ukraine sur 4 ans. 

Une aide indispensable aux 🇺🇦 et pour protéger les Européens. 

🤮Le RN a encore choisi le camp de Poutine !","2024-11-29T10:51:07.096266Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kc7acy744c2w","ensembleue.bsky.social"
"['']",34,"1","2024-11-29T10:51:27.539845Z","2023-10-20 16:51:06.891000","3kc74qw2bax2r",12.424,1,"[]","L’Europe Ensemble","","","","",1,0,"{""choices"":[""international"",""santé""]}","🎀Une semaine où nous avons marqué notre soutien à #OctobreRose et défendu une approche européenne pour la prévention et le traitement des cancers.","2024-11-29T10:51:27.539845Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kc74qw2bax2r","ensembleue.bsky.social"
"[]",35,"1","2024-11-29T10:51:34.163944Z","2023-10-20 09:50:09.940000","3kc6fa74myz2x",6.325,0,"[]","L’Europe Ensemble","3kc6f6rvcoi2b","replied_to","https://bsky.app/profile/ensembleue.bsky.social/post/3kc6f6rvcoi2b","ensembleue.bsky.social",0,0,"international","🇮🇱🇵🇸ISRAËL-GAZA : LE PARLEMENT EUROPÉEN DEMANDE UNE PAUSE HUMANITAIRE.

Le Parlement 🇪🇺 a adopté une résolution condamnant l’attaque du Hamas contre Israël, reconnaissant le droit à l’État hébreu de se défendre dans le respect du droit international et appelant à une pause humanitaire à Gaza.","2024-11-29T10:51:34.163944Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kc6fa74myz2x","ensembleue.bsky.social"
"[]",36,"1","2024-11-29T10:51:38.824471Z","2023-10-20 09:49:22.512000","3kc6f6rvcoi2b",4.354,0,"[]","L’Europe Ensemble","3kc6f65eqvj2o","replied_to","https://bsky.app/profile/ensembleue.bsky.social/post/3kc6f65eqvj2o","ensembleue.bsky.social",1,0,"{""choices"":[""international"",""économie""]}","💶UN BUDGET EUROPÉEN PLUS AMBITIEUX POUR FAIRE FACE AUX CRISES.

Pour renforcer notre autonomie stratégique, notre défense, mieux gérer les migrations ou encore soutenir l’Ukraine, le Parlement européen a adopté sa position pour un budget européen plus flexible et réactif pour 2024.","2024-11-29T10:51:38.824471Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kc6f6rvcoi2b","ensembleue.bsky.social"
"[]",37,"1","2024-11-29T10:51:50.990123Z","2023-10-20 09:49:01.005000","3kc6f65eqvj2o",11.826,0,"[]","L’Europe Ensemble","3kc6f5gtluh2c","replied_to","https://bsky.app/profile/ensembleue.bsky.social/post/3kc6f5gtluh2c","ensembleue.bsky.social",1,0,"{""choices"":[""international"",""environnement""]}","🐟MIEUX ENCADRER NOS ACTIVITÉS DE PÊCHE.

Les activités de pêche des navires seront désormais soumises à de nouvelles règles européennes afin d’assurer une meilleure transparence aux consommateurs européens et mieux protéger la biodiversité.","2024-11-29T10:51:50.990123Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kc6f65eqvj2o","ensembleue.bsky.social"
"[]",38,"1","2024-11-29T10:52:16.881657Z","2023-10-20 09:48:37.371000","3kc6f5gtluh2c",42.447,1,"[]","L’Europe Ensemble","3kc6eytradv2c","replied_to","https://bsky.app/profile/ensembleue.bsky.social/post/3kc6eytradv2c","ensembleue.bsky.social",1,0,"{""choices"":[""international"",""économie""]}","💻INVESTIR DANS NOS TECHNOLOGIES STRATÉGIQUES.

Le Parlement 🇪🇺 a validé la création d’une plateforme « STEP », dotée de 13 milliards d’euros. 

Cet instrument va permettre d’investir dans des secteurs clés comme l’intelligence artificielle, les énergies renouvelables ou les technologies médicales.","2024-12-26T09:23:48.081388Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kc6f5gtluh2c","ensembleue.bsky.social"
"[]",39,"1","2024-11-29T10:52:21.895797Z","2023-10-20 09:46:03.222000","3kc6eytradv2c",4.673,3,"[]","L’Europe Ensemble","3kc6euorxf423","replied_to","https://bsky.app/profile/ensembleue.bsky.social/post/3kc6euorxf423","ensembleue.bsky.social",1,2,"{""choices"":[""international"",""économie""]}","🇺🇦50 MILLIARDS D’AIDE POUR L’UKRAINE. 

Le Parlement a validé une aide pérenne sur 4 années. C’est un soutien précieux pour les Ukrainiens en première ligne pour défendre nos valeurs et assurer notre sécurité. 

Le RN s’est abstenu, confirmant son soutien à Poutine.","2024-11-29T10:52:21.895797Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kc6eytradv2c","ensembleue.bsky.social"
"[]",40,"1","2024-11-29T10:52:29.553599Z","2023-10-20 09:43:43.775000","3kc6euorxf423",15.033000000000001,1,"[]","L’Europe Ensemble","","","","",1,2,"vie politique","🧵Nous avons terminé hier une nouvelle session plénière marquée par plusieurs victoires pour notre délégation. 

On les récapitule ci-dessous 👇","2024-12-26T09:23:56.989163Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kc6euorxf423","ensembleue.bsky.social"
"['']",41,"1","2024-11-29T10:52:41.508016Z","2023-10-19 14:03:01.325000","3kc4cvga55t27",11.626,11,"[]","L’Europe Ensemble","","","","",0,6,"{""choices"":[""international"",""social""]}","🇮🇷Le Prix Sakharov du Parlement 🇪🇺 a été remis à Mahsa Amini et au mouvement « Femme, Vie, Liberté ».

Un signal très fort contre la répression insupportable menée en Iran contre tous ces combattants de la liberté.","2024-11-29T10:52:41.508016Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kc4cvga55t27","ensembleue.bsky.social"
"['']",42,"1","2024-11-29T10:52:46.947957Z","2023-10-19 09:58:13.342000","3kc3v7onxm62u",5.148,8,"[]","L’Europe Ensemble","","","","",1,4,"autre","Hommage à Dominique Bernard dont le courage a permis de sauver de nombreuses vies.","2024-11-29T10:52:46.947957Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kc3v7onxm62u","ensembleue.bsky.social"
"['']",43,"1","2024-11-29T10:52:57.991322Z","2023-10-17 16:05:49.147000","3kbxhqebbuv26+ensembleue.bsky.social",31.095,23,"[]","L’Europe Ensemble","3kbxhqebbuv26","reposted","https://bsky.app/profile/valeriehayer.bsky.social/post/3kbxhqebbuv26","valeriehayer.bsky.social",2,15,"autre","La majorité présidentielle @ensembleue.bsky.social au Parlement 🇪🇺 est sur Bluesky !

Aux côtés de ma complice coprésidente @mariepierrev.bsky.social ✨

Mais aussi :
@fabiennekeller.bsky.social 
@salimayenbou.bsky.social 
@jdecerle.bsky.social 
@nathalieloiseau.bsky.social 
@itolleret.bsky.social","2024-12-27T14:24:39.983107Z","https://bsky.app/profile/valeriehayer.bsky.social/post/3kbxhqebbuv26","ensembleue.bsky.social"
"['']",44,"1","2024-11-29T10:53:17.495756Z","2023-10-17 15:39:25.140000","3kbxhdx4t3x2g",12.350000000000001,1,"[]","L’Europe Ensemble","","","","",0,1,"international","Vibrant plaidoyer pour la paix et la démocratie ce midi du Premier ministre arménien Nikol Pashinyan. 

Le Parlement 🇪🇺 est aux côtés de l’🇦🇲 !","2024-11-29T10:53:17.495756Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kbxhdx4t3x2g","ensembleue.bsky.social"
"['']",45,"1","2024-11-29T10:53:24.424030Z","2023-10-17 15:11:20.865000","3kbxfrquyz626",13.202,3,"[]","L’Europe Ensemble","","","","",0,0,"{""choices"":[""international"",""économie""]}","🔴Le Parlement 🇪🇺 vient de valider la plateforme « STEP » pour renforcer notre souveraineté sur les technologies stratégiques. 

Concrètement, il s’agit de faciliter et d’orienter les investissements vers, par exemple, les batteries électriques ou la production pharmaceutique.","2024-12-26T09:24:07.920781Z","https://bsky.app/profile/ensembleue.bsky.social/post/3kbxfrquyz626","ensembleue.bsky.social"
